isco_code,isco_title,isco_major_group,task_routine_score,automation_probability,frey_osborne_category,ilo_risk_tier,manual_dexterity_index,social_perception_index,creative_intelligence_index,physical_demand_index,digital_augmentation_potential,lmic_displacement_timeline_years,at_risk_tasks,durable_tasks,resilience_pathway,green_economy_relevance,care_economy_relevance
7121,Building Frame and Related Trades Workers,7 - Craft & Related Trades,0.46,0.38,Low Risk,Tier 1,0.88,0.38,0.29,0.91,0.48,12-18,"standard joint cutting, repetitive panel fixing","custom joinery, structural problem-solving, site leadership","Pursue NVQ carpentry; develop skills in sustainable materials",High,Low
3313,Accounting Associate Professionals,3 - Technicians,0.74,0.67,High Risk,Tier 2,0.09,0.48,0.41,0.08,0.91,4-7,"data entry, standard reconciliation, payroll processing","advisory interpretation, compliance strategy, community financial education","Pivot to advisory role; master digital accounting tools (QuickBooks, Wave)",Medium,Low
5414,Security Guards,5 - Services & Sales,0.62,0.55,Medium Risk,Tier 2,0.44,0.62,0.22,0.64,0.54,8-14,"physical patrol, access logging, standardized checks","de-escalation, behavioral judgment, community intelligence","Develop cyber-physical security skills; CCTV and smart systems",Low,Medium
6121,Livestock and Dairy Producers,6 - Skilled Agricultural,0.49,0.42,Medium Risk,Tier 2,0.72,0.48,0.31,0.88,0.51,14-22,"manual milking, routine feeding, basic vaccination","animal health diagnosis, cooperative management, market access","Integrate livestock apps; join cooperative for collective bargaining power",High,Low
9611,Refuse Workers,9 - Elementary Occupations,0.78,0.71,High Risk,Tier 3,0.58,0.31,0.14,0.89,0.38,8-12,"manual waste collection, segregation, transport","route optimization, hazmat handling, circular economy knowledge","Formalize through recycler cooperative; green economy transition pathway",High,Low
3431,Photography and Image and Sound Recording,3 - Technicians,0.31,0.26,Low Risk,Tier 1,0.61,0.72,0.81,0.38,0.78,15+,"standard portrait packages, event coverage","creative direction, cultural narrative, brand storytelling","Develop video and social media skills; pivot to content creator economy",Low,Medium
5113,Travel Guides,5 - Services & Sales,0.18,0.14,Low Risk,Tier 1,0.32,0.92,0.78,0.48,0.54,18+,"standard city tour narration, transport coordination","cultural interpretation, immersive experience design, local advocacy","Formalize through tourism board; develop eco-tourism specialty",Medium,Medium
4222,Contact Centre Information Clerks,4 - Clerical Support,0.81,0.76,High Risk,Tier 3,0.11,0.52,0.28,0.09,0.88,3-6,"scripted response handling, call routing, data logging","complex complaint resolution, emotional support, cultural code-switching","Pivot to AI-assisted customer success; develop empathy-intensive roles",Low,Medium
7411,Electrical Equipment Installers,7 - Craft & Related Trades,0.39,0.32,Low Risk,Tier 1,0.82,0.48,0.38,0.78,0.71,14-20,"standard wiring, fixture mounting, meter reading","off-grid system design, safety compliance, renewable integration","High demand in green economy; pursue solar/EV certification",High,Low
7126,Plumbers and Pipe Fitters,7 - Craft & Related Trades,0.41,0.34,Low Risk,Tier 1,0.84,0.42,0.34,0.81,0.58,14-20,"standard pipe installation, routine maintenance","WASH system design, water quality monitoring, site supervision","WASH tech is climate-resilient; pursue sanitation engineer pathway",High,Low
4132,Data Entry Clerks,4 - Clerical Support,0.89,0.88,Very High Risk,Tier 3,0.08,0.28,0.18,0.06,0.91,2-5,"manual data transcription, form filling, basic filing","data quality assurance, system training oversight, process documentation","Urgent upskill needed; pivot to GIS, data collection, or AI training roles",Low,Low
7231,Motor Vehicle Mechanics,7 - Craft & Related Trades,0.44,0.37,Low Risk,Tier 1,0.88,0.44,0.38,0.84,0.64,12-18,"standard oil changes, brake pad replacement","complex engine diagnostics, EV system maintenance, fleet management","EV transition creates new high-demand niche; pursue EV cert urgently",High,Low
3212,Medical and Dental Prosthetic Technicians,3 - Technicians,0.29,0.22,Low Risk,Tier 1,0.78,0.88,0.48,0.54,0.61,18+,"routine supply distribution, standard home visits","behavioral counseling, data-driven surveillance, community health mapping","High care economy demand; formalize as CHW with digital health tools",Low,High
2359,Teaching Associate Professionals,2 - Professionals,0.21,0.17,Low Risk,Tier 1,0.29,0.91,0.72,0.32,0.68,18+,"rote instruction delivery, exam invigilation","adaptive pedagogy, project-based learning, community mobilization","EdTech augments but cannot replace; develop hybrid teaching skills",Medium,High
8121,Cement Stone and Other Mineral Products Machine Operators,8 - Plant & Machine Operators,0.76,0.69,High Risk,Tier 2,0.52,0.22,0.14,0.88,0.44,8-14,"manual moulding, kiln loading, material mixing","quality inspection, production scheduling, safety compliance","Shift to building materials QC or ceramics production supervisor",Medium,Low
