informal_skill,informal_skill_alias,isco_code,isco_title,isco_major_group,skill_cluster,transferable_skills,durable_adjacent_skills,certification_pathway,formalization_ease
Carpenter (Informal),Furniture Maker,7121,Building Frame and Related Trades Workers,7 - Craft & Related Trades,Woodworking,"joinery, hand tools, furniture assembly","interior fit-out contractor, CAD furniture designer, site foreman",City & Guilds Carpentry / TVET,Medium
Petty Trader,Informal Micro-Retailer,5221,Shop Salespersons,5 - Services & Sales,Retail Trade,"inventory tracking, markup pricing, customer loyalty","retail analytics assistant, FMCG distributor, e-commerce seller",Trade License / Microenterprise Certificate,High
Electronics Assembler,Informal Circuit Board Worker,7421,Electronics Mechanics and Servicers,7 - Craft & Related Trades,ICT Hardware,"soldering, component testing, ESD safety","PCB quality technician, electronics production supervisor, repair depot manager",IPC-A-610 / TVET Electronics,Medium
Solar Panel Installer,Informal PV Technician,7411,Electrical Equipment Installers,7 - Craft & Related Trades,Renewable Energy,"panel mounting, cable routing, battery connection","solar systems engineer assistant, off-grid energy auditor, microgrid technician",GOGLA / ILO Green Skills Certificate,Medium
Plumber (Informal),Pipe Fitting Worker,7126,Plumbers and Pipe Fitters,7 - Craft & Related Trades,Water & Sanitation,"pipe cutting, leak detection, fitting installation","WASH technician, water utility maintenance, sanitation project officer",TVET Plumbing / Water Utility License,Medium
Data Entry Clerk,Informal Office Assistant,4132,Data Entry Clerks,4 - Clerical Support,Digital Literacy,"keyboard accuracy, spreadsheet basics, data filing","database administrator assistant, GIS data collector, remote work admin",Microsoft Office Specialist / ICDL,High
Motorcycle Mechanic,Two-Wheeler Repair Technician,7231,Motor Vehicle Mechanics and Repairers,7 - Craft & Related Trades,Automotive,"engine diagnostics, brake servicing, parts sourcing","EV motorcycle technician, fleet maintenance supervisor, auto parts distributor",TVET Automotive / ATA Certification,Medium
Community Health Worker,Village Health Volunteer,3212,Medical and Dental Prosthetic Technicians,3 - Technicians,Health,"health education, referral systems, record keeping","health data collector, community disease surveillance officer, WASH educator",CHW Certificate / WHO IMCI,High
Teacher (Informal),Informal Education Provider,2359,Teaching Associate Professionals,2 - Professionals,Education,"curriculum delivery, learner assessment, classroom management","EdTech content creator, school principal, TVET instructor",Teacher Certification / Diploma in Education,High
Brick Maker,Clay Product Worker,8121,Cement Stone and Other Mineral Products Machine Operators,8 - Plant & Machine Operators,Construction Materials,"clay mixing, moulding, kiln operation","ceramics production supervisor, construction materials QC inspector, sanitation block producer",TVET Construction Materials,Low
Informal Accountant,Community Bookkeeper,3313,Accounting Associate Professionals,3 - Technicians,Finance & Banking,"cash flow recording, expense tracking, basic reporting","payroll administrator, SACCO accountant, tax compliance assistant",AAT Foundation / ACCA Diploma,High
Security Guard (Informal),Unarmed Site Watchman,5414,Security Guards,5 - Services & Sales,Security Services,"access control, patrol routines, incident reporting","CCTV operator, corporate security coordinator, risk assessment assistant",Security Industry License / SIA,Medium
Poultry Farmer (Small),Backyard Chicken Farmer,6121,Livestock and Dairy Producers,6 - Skilled Agricultural,Agriculture & Livestock,"flock management, vaccination, egg grading","poultry extension officer, animal feed distributor, agri-input retailer",TVET Animal Production / Livestock Certificate,Low
Waste Picker / Recycler,Informal Waste Collector,9611,Refuse Workers,9 - Elementary Occupations,Circular Economy,"material sorting, route planning, weight-based pricing","recycling plant supervisor, waste management officer, green economy trainer",Waste Management Certificate / ILO Green Jobs,Low
Informal Photographer,Event & Portrait Photographer,3431,Photography and Image and Sound Recording Equipment Operators,3 - Technicians,Creative & Media,"composition, lighting, digital editing","content creator, stock photo contributor, social media manager",Adobe Certification / TVET Photography,High
Tour Guide (Informal),Community Heritage Guide,5113,Travel Guides,5 - Services & Sales,Tourism & Hospitality,"local knowledge, communication, itinerary planning","destination management officer, ecotourism coordinator, cultural heritage interpreter",Tourism Board License / WFTGA Certificate,High
Call Center Agent,Informal Customer Service Rep,4222,Contact Centre Information Clerks,4 - Clerical Support,Digital Services,"active listening, complaint resolution, CRM basics","customer success manager, UX researcher, BPO team leader",CCSP / Customer Service Diploma,High
